28, 100, 0.1162, 0.0884
28, 200, 0.0776, 0.0752
28, 300, 0.0707, 0.0679
28, 400, 0.0682, 0.0660
28, 500, 0.0679, 0.0642
28, 600, 0.0590, 0.0612
28, 700, 0.0670, 0.0602
28, 800, 0.0620, 0.0589
28, 900, 0.0625, 0.0586
28, 1000, 0.0595, 0.0573
28, 1100, 0.0628, 0.0544
28, 1200, 0.0557, 0.0542
28, 1300, 0.0590, 0.0557
28, 1400, 0.0563, 0.0530
28, 1500, 0.0545, 0.0618
28, 1600, 0.0545, 0.0506
28, 1700, 0.0539, 0.0544
28, 1800, 0.0540, 0.0613
28, 1900, 0.0526, 0.0520
28, 2000, 0.0569, 0.0518
28, 2100, 0.0562, 0.0503
28, 2200, 0.0490, 0.0489
29, 100, 0.0463, 0.0496
29, 200, 0.0465, 0.0526
29, 300, 0.0505, 0.0483
29, 400, 0.0555, 0.0489
29, 500, 0.0481, 0.0504
29, 600, 0.0537, 0.0481
29, 700, 0.0503, 0.0485
29, 800, 0.0512, 0.0485
29, 900, 0.0487, 0.0486
29, 1000, 0.0475, 0.0474
29, 1100, 0.0466, 0.0464
29, 1200, 0.0442, 0.0453
29, 1300, 0.0505, 0.0475
29, 1400, 0.0483, 0.0490
29, 1500, 0.0480, 0.0470
29, 1600, 0.0431, 0.0478
29, 1700, 0.0429, 0.0469
29, 1800, 0.0451, 0.0494
29, 1900, 0.0445, 0.0478
29, 2000, 0.0451, 0.0616
29, 2100, 0.0465, 0.0466
29, 2200, 0.0458, 0.0448
30, 100, 0.0451, 0.0493
30, 200, 0.0423, 0.0441
30, 300, 0.0441, 0.0440
30, 400, 0.0411, 0.0439
30, 500, 0.0455, 0.0442
30, 600, 0.0440, 0.0535
30, 700, 0.0447, 0.0450
30, 800, 0.0378, 0.0427
30, 900, 0.0416, 0.0437
30, 1000, 0.0412, 0.0484
30, 1100, 0.0437, 0.0429
30, 1200, 0.0416, 0.0443
30, 1300, 0.0457, 0.0455
30, 1400, 0.0442, 0.0431
30, 1500, 0.0475, 0.0426
30, 1600, 0.0426, 0.0427
30, 1700, 0.0414, 0.0447
30, 1800, 0.0385, 0.0438
30, 1900, 0.0440, 0.0441
30, 2000, 0.0377, 0.0424
30, 2100, 0.0436, 0.0434
30, 2200, 0.0390, 0.0435
