28, 100, 0.1095, 0.0822
28, 200, 0.0763, 0.0738
28, 300, 0.0688, 0.0699
28, 400, 0.0704, 0.0657
28, 500, 0.0708, 0.0651
28, 600, 0.0667, 0.0594
28, 700, 0.0642, 0.0642
28, 800, 0.0631, 0.0611
28, 900, 0.0588, 0.0603
28, 1000, 0.0571, 0.0562
28, 1100, 0.0607, 0.0538
29, 100, 0.0576, 0.0557
29, 200, 0.0575, 0.0528
29, 300, 0.0532, 0.0513
29, 400, 0.0573, 0.0550
29, 500, 0.0509, 0.0501
29, 600, 0.0528, 0.0512
29, 700, 0.0523, 0.0507
29, 800, 0.0464, 0.0516
29, 900, 0.0584, 0.0516
29, 1000, 0.0544, 0.0502
29, 1100, 0.0513, 0.0521
30, 100, 0.0479, 0.0474
30, 200, 0.0522, 0.0525
30, 300, 0.0481, 0.0535
30, 400, 0.0492, 0.0492
30, 500, 0.0493, 0.0484
30, 600, 0.0491, 0.0476
30, 700, 0.0513, 0.0468
30, 800, 0.0460, 0.0484
30, 900, 0.0446, 0.0465
30, 1000, 0.0451, 0.0462
30, 1100, 0.0424, 0.0499
